MATERIAL INFORMATION	
	Material = Hydroxyapatite (powder)
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================	
q (A^-1)	I(q)
===============================================================
1.36284	0.00113292
1.36405	1.08e-06
1.36526	8.64e-06
1.36647	0.00185868
1.36768	-0.00041256
1.36889	-0.0006858
1.3701	-0.00079272
1.37131	-0.0009882
1.37252	-0.0006696
1.37373	8.532e-05
1.37494	-0.00020844
1.37615	0.00090072
1.37736	0.00254988
1.37857	0.0009666
1.37978	0.0085212
1.38099	-0.0004374
1.3822	-5.292e-05
1.38341	0.00081864
1.38462	0.0005724
1.38583	0.00074952
1.38704	0.00069336
1.38825	0.00075168
1.38946	0.00095796
1.39067	0.00119772
1.39188	0.0003402
1.39308	-0.00043308
1.3943	0.0004806
1.3955	0.00039852
1.39671	7.56e-06
1.39792	0.00077868
1.39913	0.00018684
1.40034	0.00111888
1.40155	0.00118368
1.40276	0.0025272
1.40397	0.00115992
1.40518	0.0013392
1.40639	-1.296e-05
1.4076	0.00067176
1.40881	0.0005076
1.41002	0.00033156
1.41122	0.00055512
1.41243	0.00056052
1.41364	0.0006966
1.41485	0.00011232
1.41606	0.00122364
1.41727	0.00010476
1.41848	0.00097092
1.41969	0.0015552
1.4209	0.00156492
1.4221	0.00220752
1.42331	4.104e-05
1.42452	-0.00031968
1.42573	-0.000486
1.42694	0.00016308
1.42815	0.00239004
1.42936	0.0014526
1.43056	0.0016902
1.43177	0.00150444
1.43298	0.0025542
1.43419	0.00062532
1.4354	-0.00139104
1.43661	0.000891
1.43781	-0.00083052
1.43902	0.00035208
1.44023	-0.00079812
1.44144	0.00049572
1.44265	0.00122256
1.44386	0.00191052
1.44506	0.0020088
1.44627	0.00038124
1.44748	0.00148608
1.44869	0.00038664
1.4499	0.0008316
1.4511	0.00030996
1.45231	0.00046008
1.45352	0.00069336
1.45473	0.00102816
1.45594	0.00184248
1.45714	0.0014472
1.45835	0.00240948
1.45956	0.0016038
1.46077	0.00058212
1.46197	-0.00010584
1.46318	-0.00045036
1.46439	0.0002106
1.4656	-0.00049572
1.4668	0.0011286
1.46801	0.00177012
1.46922	0.000972
1.47043	0.00037584
